,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
222,225,The Simpsons: Hit & Run,Sony PlayStation 2,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7
223,226,Tony Hawk's Pro Skater 2,Sony PlayStation,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68
224,227,Animal Crossing: City Folk,Nintendo Wii,2008,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
225,228,The Lord of the Rings: The Two Towers,Sony PlayStation 2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
226,229,Forza Motorsport 4,Microsoft Xbox 360,2011,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
227,230,Tomb Raider,Sony PlayStation,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
228,231,Guitar Hero III: Legends of Rock,Nintendo Wii,2007,Misc,Activision,3.06,1.12,0.0,0.44,4.62
229,232,The Legend of Zelda: A Link to the Past,Super Nintendo Entertainment System,1991,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
230,233,The Legend of Zelda: The Wind Waker,Nintendo GameCube,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
231,234,Mario & Sonic at the Olympic Winter Games,Nintendo Wii,2009,Sports,Sega,1.89,1.99,0.22,0.48,4.58
232,235,Luigi's Mansion: Dark Moon,Nintendo 3DS,2013,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
233,236,Splatoon,Nintendo Wii U,2015,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
234,237,The Last of Us,Sony PlayStation 4,2014,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
235,238,Guitar Hero III: Legends of Rock,Microsoft Xbox 360,2007,Misc,Activision,3.19,0.92,0.01,0.42,4.53
236,239,Madden NFL 2005,Sony PlayStation 2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
237,241,Madden NFL 07,Sony PlayStation 2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
238,242,Spider-Man: The Movie,Sony PlayStation 2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48
239,243,Dragon Quest VII: Warriors of Eden,Sony PlayStation,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
240,244,Uncharted: The Nathan Drake Collection,Sony PlayStation 4,2015,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
241,245,Call of Duty: Advanced Warfare,Sony PlayStation 3,2014,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
242,246,God of War,Sony PlayStation 2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45
243,247,Nintendo Land,Nintendo Wii U,2012,Misc,Nintendo,2.55,1.11,0.46,0.33,4.44
244,248,Michael Jackson: The Experience,Nintendo Wii,2010,Misc,Ubisoft,2.67,1.35,0.01,0.39,4.42
245,249,Tony Hawk's Pro Skater 3,Sony PlayStation 2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41
246,250,Winning Eleven: Pro Evolution Soccer 2007,Sony PlayStation 2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39
247,251,The Elder Scrolls IV: Oblivion,Microsoft Xbox 360,2006,Role-Playing,Take-Two Interactive,2.82,1.05,0.13,0.4,4.39
248,252,Zelda II: The Adventure of Link,Nintendo Entertainment System,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38
249,253,Need for Speed: Most Wanted,Sony PlayStation 2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37
250,254,Resistance: Fall of Man,Sony PlayStation 3,2006,Shooter,Sony Computer Entertainment,1.73,1.73,0.14,0.75,4.35
251,255,Sonic the Hedgehog,Sega Genesis,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34
252,256,Kingdom Hearts II,Sony PlayStation 2,2005,Role-Playing,Square Enix,2.2,0.58,1.38,0.17,4.33
253,257,FIFA 14,Microsoft Xbox 360,2013,Sports,Electronic Arts,0.92,2.93,0.01,0.46,4.31
254,258,Call of Duty: Advanced Warfare,Microsoft Xbox 360,2014,Shooter,Activision,2.75,1.18,0.0,0.37,4.31
255,260,Fable II,Microsoft Xbox 360,2008,Role-Playing,Microsoft Game Studios,2.51,1.27,0.11,0.41,4.31
256,261,Halo 5: Guardians,Microsoft Xbox One,2015,Shooter,Microsoft Game Studios,2.64,1.2,0.03,0.39,4.26
257,262,Super Mario 3D World,Nintendo Wii U,2013,Platform,Nintendo,2.11,1.11,0.72,0.3,4.25
258,263,Batman: Arkham Asylum,Sony PlayStation 3,2009,Action,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
259,264,Assassin's Creed: Revelations,Sony PlayStation 3,2011,Action,Ubisoft,1.41,2.02,0.1,0.72,4.24
260,265,Namco Museum,Nintendo Game Boy Advance,2001,Misc,Namco Bandai Games,3.0,1.11,0.05,0.07,4.24
261,266,Metal Gear Solid 3: Snake Eater,Sony PlayStation 2,2004,Action,Konami Digital Entertainment,1.46,0.0,0.83,1.93,4.23
262,267,Daxter,Sony PlayStation Portable,2006,Platform,Sony Computer Entertainment,2.45,1.02,0.0,0.75,4.22
263,268,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0.0,0.23,4.21
264,269,The Legend of Zelda: Ocarina of Time,Nintendo 3DS,2011,Action,Nintendo,2.03,1.27,0.62,0.3,4.21
265,270,FIFA Soccer 06,Sony PlayStation 2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
266,271,EyeToy Play,Sony PlayStation 2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2
267,272,Uncharted 4: A Thief's End,Sony PlayStation 4,2016,Shooter,Sony Computer Entertainment,1.3,2.07,0.18,0.65,4.2
268,273,Gran Turismo 5 Prologue,Sony PlayStation 3,2007,Racing,Sony Computer Entertainment,1.28,1.83,0.57,0.53,4.2
269,274,Assassin's Creed: Revelations,Microsoft Xbox 360,2011,Action,Ubisoft,2.25,1.47,0.04,0.43,4.19
270,275,Street Fighter IV,Sony PlayStation 3,2009,Fighting,Capcom,2.02,1.06,0.58,0.53,4.19
271,276,FIFA 12,Microsoft Xbox 360,2011,Sports,Electronic Arts,0.84,2.79,0.02,0.53,4.19
272,277,Teenage Mutant Ninja Turtles,Nintendo Entertainment System,1989,Action,Palcom,3.38,0.44,0.31,0.04,4.17
273,278,Excitebike,Nintendo Entertainment System,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16
274,279,Frogger,Sony PlayStation,1997,Action,Hasbro Interactive,3.79,0.27,0.0,0.11,4.16
275,280,Madden NFL 2003,Sony PlayStation 2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14
276,281,Watch Dogs,Sony PlayStation 4,2014,Action,Ubisoft,1.4,1.86,0.11,0.77,4.14
277,282,Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0.0,0.09,0.0,4.12
278,283,Super Mario World 2: Yoshi's Island,Super Nintendo Entertainment System,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12
279,284,FIFA Soccer 07,Sony PlayStation 2,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11
280,285,The Legend of Zelda: Skyward Sword,Nintendo Wii,2011,Action,Nintendo,2.14,1.2,0.37,0.4,4.1
281,286,Street Fighter II Turbo,Super Nintendo Entertainment System,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1
282,287,Carnival Games,Nintendo Wii,2007,Misc,Take-Two Interactive,2.13,1.5,0.05,0.42,4.1
283,288,Fallout 4,Microsoft Xbox One,2015,Role-Playing,Bethesda Softworks,2.45,1.26,0.01,0.37,4.09
284,289,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09
285,290,Fallout: New Vegas,Microsoft Xbox 360,2010,Role-Playing,Bethesda Softworks,2.65,1.06,0.04,0.33,4.08
286,291,God of War II,Sony PlayStation 2,2007,Action,Sony Computer Entertainment,2.32,0.04,0.04,1.67,4.07
287,292,Forza Motorsport 2,Microsoft Xbox 360,2007,Racing,Microsoft Game Studios,2.35,1.28,0.03,0.41,4.06
288,293,World Soccer Winning Eleven 9,Sony PlayStation 2,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06
289,294,Namco Museum Vol.3,Sony PlayStation,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05
290,295,Tekken Tag Tournament,Sony PlayStation 2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05
291,296,Far Cry 4,Sony PlayStation 4,2014,Shooter,Ubisoft,1.12,2.12,0.1,0.69,4.03
292,297,Star Fox 64,Nintendo 64,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03
293,298,Minecraft,Sony PlayStation 4,2014,Misc,Sony Computer Entertainment Europe,1.38,1.87,0.12,0.65,4.02
294,299,Golf,Nintendo Entertainment System,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01
295,300,Fallout 3,Sony PlayStation 3,2008,Role-Playing,Bethesda Softworks,2.15,1.2,0.07,0.59,4.01
296,301,Professor Layton and the Diabolical Box,Nintendo DS,2007,Puzzle,Nintendo,0.92,1.78,0.92,0.37,4.0
297,302,Left 4 Dead 2,Microsoft Xbox 360,2009,Shooter,Electronic Arts,2.67,0.89,0.05,0.37,3.99
298,303,Namco Museum: 50th Anniversary,Sony PlayStation 2,2005,Misc,Namco Bandai Games,2.08,1.35,0.0,0.54,3.98
299,304,EA Sports Active,Nintendo Wii,2009,Sports,Electronic Arts,2.1,1.36,0.06,0.4,3.92
300,305,Assassin's Creed: Unity,Sony PlayStation 4,2014,Action,Ubisoft,1.18,1.96,0.08,0.7,3.92
301,306,Donkey Kong Land,Nintendo Game Boy,1994,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91
302,307,Tony Hawk's Underground,Sony PlayStation 2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9
303,308,Assassin's Creed IV: Black Flag,Sony PlayStation 3,2013,Action,Ubisoft,1.33,1.71,0.13,0.73,3.89
304,309,Monster Hunter 4 Ultimate,Nintendo 3DS,2014,Role-Playing,Nintendo,0.67,0.49,2.62,0.11,3.89
305,310,MotorStorm,Sony PlayStation 3,2006,Racing,Sony Computer Entertainment,1.53,1.61,0.06,0.67,3.88
306,311,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,1.15,2.09,0.0,0.64,3.88
307,312,Tekken 5,Sony PlayStation 2,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87
308,313,Dragon Warrior III,Nintendo Entertainment System,1988,Role-Playing,Enix Corporation,0.1,0.0,3.77,0.0,3.87
309,314,Sports Champions,Sony PlayStation 3,2010,Sports,Sony Computer Entertainment,2.12,1.14,0.1,0.51,3.87
310,315,NBA 2K16,Sony PlayStation 4,2015,Sports,Take-Two Interactive,2.48,0.65,0.03,0.69,3.85
311,316,World Soccer Winning Eleven 8 International,Sony PlayStation 2,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85
312,317,Flash Focus: Vision Training in Minutes a Day,Nintendo DS,2007,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84
313,318,Namco Museum Vol.1,Sony PlayStation,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84
314,319,The Legend of Zelda: Link's Awakening,Nintendo Game Boy,1992,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
315,320,Mario & Luigi: Bowser's Inside Story,Nintendo DS,2009,Role-Playing,Nintendo,2.26,0.48,0.81,0.27,3.83
316,321,Big Brain Academy: Wii Degree,Nintendo Wii,2007,Misc,Nintendo,1.06,1.93,0.41,0.43,3.82
317,322,Nintendogs + cats,Nintendo 3DS,2011,Simulation,Nintendo,1.44,1.37,0.73,0.27,3.81
318,323,Batman: Arkham Knight,Sony PlayStation 4,2015,Action,Warner Bros. Interactive Entertainment,1.49,1.58,0.1,0.61,3.79
319,324,Mario & Sonic at the London 2012 Olympic Games,Nintendo Wii,2011,Sports,Sega,1.14,1.91,0.27,0.46,3.78
320,325,LEGO Indiana Jones: The Original Adventures,Microsoft Xbox 360,2008,Action,Activision,2.4,1.03,0.0,0.36,3.78
321,326,Resident Evil Director's Cut,Sony PlayStation,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77
322,327,Ratchet & Clank: Size Matters,Sony PlayStation Portable,2007,Platform,Sony Computer Entertainment,1.4,1.4,0.1,0.87,3.77
323,328,Just Dance 2014,Nintendo Wii,2013,Misc,Ubisoft,1.98,1.47,0.0,0.32,3.76
324,329,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2.03,1.56,0.0,0.17,3.76
325,330,Super Paper Mario,Nintendo Wii,2007,Platform,Nintendo,1.98,0.88,0.59,0.32,3.76
326,331,Harry Potter and the Sorcerer's Stone,Sony PlayStation,2001,Action,Electronic Arts,1.37,2.0,0.14,0.22,3.73
327,332,The Witcher 3: Wild Hunt,Sony PlayStation 4,2015,Role-Playing,Namco Bandai Games,0.96,2.0,0.21,0.56,3.73
328,333,Resident Evil 3: Nemesis,Sony PlayStation,1999,Action,Eidos Interactive,1.3,0.77,1.54,0.11,3.72
329,334,Spyro: Year of the Dragon,Sony PlayStation,2000,Platform,Sony Computer Entertainment,1.93,1.58,0.0,0.19,3.71
330,335,FIFA Soccer 2005,Sony PlayStation 2,2004,Sports,Electronic Arts,0.58,2.48,0.04,0.59,3.7
331,336,Pokémon Trading Card Game,Nintendo Game Boy,1998,Strategy,Nintendo,1.49,0.73,1.38,0.1,3.7
332,337,Battlefield 4,Sony PlayStation 3,2013,Shooter,Electronic Arts,1.3,1.51,0.27,0.61,3.69
333,338,MySims,Nintendo DS,2007,Simulation,Electronic Arts,1.59,1.61,0.08,0.41,3.69
334,339,Friend Collection,Nintendo DS,2009,Misc,Nintendo,0.0,0.0,3.67,0.0,3.67
335,340,Tony Hawk's Pro Skater 4,Sony PlayStation 2,2002,Sports,Activision,2.13,1.18,0.01,0.35,3.67
336,341,Midnight Club 3: DUB Edition,Sony PlayStation Portable,2005,Racing,Take-Two Interactive,1.65,1.22,0.0,0.79,3.66
337,342,Banjo-Kazooie,Nintendo 64,1998,Platform,Nintendo,1.87,1.13,0.55,0.1,3.65
338,343,SOCOM: U.S. Navy SEALs,Sony PlayStation 2,2002,Shooter,Sony Computer Entertainment,2.53,0.81,0.06,0.24,3.65
339,344,Guitar Hero: World Tour,Nintendo Wii,2008,Misc,Activision,2.33,0.97,0.0,0.35,3.65
340,345,Gran Turismo 6,Sony PlayStation 3,2013,Racing,Sony Computer Entertainment,0.71,1.8,0.4,0.74,3.64
341,346,Jak and Daxter: The Precursor Legacy,Sony PlayStation 2,2001,Platform,Sony Computer Entertainment,2.08,1.09,0.15,0.33,3.64
342,347,Pokemon Snap,Nintendo 64,1999,Simulation,Nintendo,2.23,0.68,0.66,0.06,3.63
343,348,FIFA Soccer 10,Sony PlayStation 3,2009,Sports,Electronic Arts,0.6,2.46,0.05,0.52,3.63
344,349,Pro Evolution Soccer 2008,Sony PlayStation 2,2007,Sports,Konami Digital Entertainment,0.05,0.0,0.64,2.93,3.63
345,350,Call of Duty: Ghosts,Sony PlayStation 4,2013,Shooter,Activision,1.78,1.42,0.05,0.38,3.63
346,351,Resident Evil 4,Sony PlayStation 2,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62
347,352,Tom Clancy's The Division,Sony PlayStation 4,2016,Shooter,Ubisoft,1.28,1.61,0.15,0.57,3.61
348,353,Star Wars: Battlefront,Sony PlayStation 2,2004,Shooter,LucasArts,1.93,1.22,0.03,0.44,3.61
349,354,Doom II: Hell on Earth,PC,1994,Shooter,Virgin Interactive,2.05,1.4,0.0,0.16,3.61
350,355,The Simpsons: Road Rage,Sony PlayStation 2,2001,Racing,Electronic Arts,2.02,1.17,0.0,0.42,3.61
351,356,Cooking Mama 2: Dinner With Friends,Nintendo DS,2007,Simulation,505 Games,1.61,1.5,0.1,0.39,3.61
352,357,Luigi's Mansion,Nintendo GameCube,2001,Action,Nintendo,2.38,0.67,0.46,0.1,3.6
353,358,Star Wars: Battlefront II,Sony PlayStation 2,2005,Shooter,LucasArts,2.18,1.02,0.03,0.37,3.59
354,359,WWF SmackDown!,Sony PlayStation,2000,Fighting,THQ,2.01,1.35,0.06,0.16,3.58
355,360,Croc: Legend of the Gobbos,Sony PlayStation,1997,Platform,Fox Interactive,1.57,1.79,0.0,0.2,3.56
356,361,Grand Theft Auto: Liberty City Stories,Sony PlayStation 2,2006,Action,Take-Two Interactive,1.56,1.4,0.07,0.5,3.54
357,362,The Getaway,Sony PlayStation 2,2002,Action,Sony Computer Entertainment,1.23,1.77,0.05,0.49,3.54
358,363,Tomb Raider III: Adventures of Lara Croft,Sony PlayStation,1997,Action,Eidos Interactive,1.66,1.58,0.12,0.18,3.54
359,364,James Bond 007: Agent Under Fire,Sony PlayStation 2,2001,Shooter,Electronic Arts,1.9,1.13,0.1,0.41,3.53
360,365,LEGO Star Wars: The Video Game,Sony PlayStation 2,2005,Action,Eidos Interactive,1.98,1.14,0.01,0.41,3.53
361,366,Battlefield 4,Microsoft Xbox 360,2013,Shooter,Electronic Arts,2.14,1.08,0.02,0.29,3.53
362,367,FIFA Soccer 11,Microsoft Xbox 360,2010,Sports,Electronic Arts,0.71,2.4,0.02,0.4,3.53
363,368,Rugrats in Paris: The Movie,Sony PlayStation,2000,Action,THQ,1.96,1.33,0.0,0.23,3.52
364,369,Spyro 2: Ripto's Rage!,Sony PlayStation,1999,Platform,Sony Computer Entertainment,2.14,1.21,0.01,0.17,3.52
365,370,Left 4 Dead,Microsoft Xbox 360,2008,Shooter,Electronic Arts,2.66,0.5,0.05,0.3,3.52
366,371,Mario & Sonic at the Olympic Winter Games,Nintendo DS,2009,Sports,Sega,1.22,1.66,0.27,0.38,3.52
367,372,Resident Evil 5,Microsoft Xbox 360,2009,Action,Capcom,2.11,0.94,0.12,0.34,3.51
368,373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Super Nintendo Entertainment System,1996,Platform,Nintendo,1.17,0.5,1.75,0.08,3.51
369,374,Assassin's Creed: Brotherhood,Microsoft Xbox 360,2010,Action,Ubisoft,2.84,0.39,0.03,0.24,3.5
370,375,Kung Fu,Nintendo Entertainment System,1985,Action,Nintendo,1.64,0.38,1.42,0.06,3.5
371,376,Batman: Arkham Asylum,Microsoft Xbox 360,2009,Action,Eidos Interactive,2.2,0.97,0.02,0.31,3.5
372,377,Clubhouse Games,Nintendo DS,2006,Misc,Nintendo,0.59,1.83,0.73,0.35,3.5
373,379,Star Wars Battlefront (2015),Microsoft Xbox One,2015,Shooter,Electronic Arts,1.94,1.22,0.02,0.31,3.49
374,380,Battlefield: Bad Company 2,Microsoft Xbox 360,2010,Shooter,Electronic Arts,2.09,1.02,0.04,0.32,3.48
375,381,Guitar Hero: On Tour,Nintendo DS,2008,Misc,Activision,2.11,1.01,0.01,0.35,3.48
376,382,Assassin's Creed: Unity,Microsoft Xbox One,2014,Action,Ubisoft,2.26,0.89,0.0,0.3,3.46
377,383,Far Cry 3,Sony PlayStation 3,2012,Shooter,Ubisoft,0.88,1.75,0.1,0.72,3.45
378,384,Monster Hunter 4,Nintendo 3DS,2013,Role-Playing,Capcom,0.0,0.0,3.44,0.0,3.44
379,385,Borderlands,Microsoft Xbox 360,2009,Shooter,Take-Two Interactive,2.39,0.73,0.03,0.29,3.44
380,386,Tekken 4,Sony PlayStation 2,2002,Fighting,Namco Bandai Games,1.55,1.27,0.33,0.29,3.44
381,387,Battlefield 4,Sony PlayStation 4,2013,Shooter,Electronic Arts,1.34,1.54,0.17,0.38,3.43
382,388,LittleBigPlanet 2,Sony PlayStation 3,2011,Platform,Sony Computer Entertainment,1.82,1.07,0.06,0.47,3.42
383,389,Grand Theft Auto 2,Sony PlayStation,1998,Action,Take-Two Interactive,1.13,2.07,0.0,0.22,3.42
384,390,Final Fantasy III,Super Nintendo Entertainment System,1994,Role-Playing,SquareSoft,0.86,0.0,2.55,0.02,3.42
385,391,Spider-Man 2,Sony PlayStation 2,2004,Action,Activision,1.75,1.2,0.02,0.43,3.41
386,392,F-1 Race,Nintendo Game Boy,1990,Racing,Nintendo,1.73,0.69,0.59,0.4,3.41
387,393,FIFA Soccer 2003,Sony PlayStation 2,2002,Sports,Electronic Arts,0.46,2.28,0.05,0.61,3.4
388,394,Crash Bash,Sony PlayStation,2000,Misc,Sony Computer Entertainment,1.56,1.47,0.19,0.17,3.39
389,395,LEGO Batman: The Videogame,Microsoft Xbox 360,2008,Action,Warner Bros. Interactive Entertainment,2.03,1.03,0.0,0.32,3.38
390,396,Metal Gear Solid V: The Phantom Pain,Sony PlayStation 4,2015,Action,Konami Digital Entertainment,1.08,1.35,0.48,0.47,3.38
391,397,The Legend of Zelda: Spirit Tracks,Nintendo DS,2009,Action,Nintendo,1.43,0.94,0.74,0.27,3.38
392,398,WWF War Zone,Sony PlayStation,1998,Fighting,Acclaim Entertainment,2.47,0.76,0.0,0.13,3.36
393,399,The Legend of Zelda: Majora's Mask,Nintendo 64,2000,Action,Nintendo,1.9,0.67,0.73,0.06,3.36
394,400,Professor Layton and the Unwound Future,Nintendo DS,2008,Puzzle,Nintendo,0.65,1.61,0.82,0.28,3.36
395,401,Rugrats: Search For Reptar,Sony PlayStation,1998,Adventure,THQ,1.63,1.53,0.0,0.18,3.34
396,402,Assassin's Creed IV: Black Flag,Microsoft Xbox 360,2013,Action,Ubisoft,1.9,1.14,0.01,0.29,3.34
397,403,English Training: Have Fun Improving Your Skills!,Nintendo DS,2006,Misc,Nintendo,0.0,0.99,2.32,0.02,3.33
398,404,James Bond 007: Nightfire,Sony PlayStation 2,2002,Shooter,Electronic Arts,1.45,1.29,0.12,0.46,3.33
399,405,Ratchet & Clank,Sony PlayStation 2,2002,Platform,Sony Computer Entertainment,1.44,1.01,0.57,0.3,3.33
400,406,Mario Party 9,Nintendo Wii,2012,Misc,Nintendo,1.15,1.17,0.76,0.24,3.32
401,407,Star Wars Episode III: Revenge of the Sith,Sony PlayStation 2,2005,Action,LucasArts,1.47,1.39,0.03,0.43,3.32
402,408,Max Payne,Sony PlayStation 2,2001,Shooter,Take-Two Interactive,1.99,1.05,0.05,0.22,3.31
403,409,The Lord of the Rings: The Return of the King,Sony PlayStation 2,2003,Action,Electronic Arts,1.5,1.28,0.05,0.46,3.28
404,410,Assassin's Creed Syndicate,Sony PlayStation 4,2015,Action,Ubisoft,0.8,1.92,0.06,0.5,3.28
405,411,Destiny,Microsoft Xbox One,2014,Shooter,Activision,2.13,0.92,0.0,0.23,3.28
406,412,True Crime: Streets of LA,Sony PlayStation 2,2003,Action,Activision,1.89,1.05,0.02,0.31,3.27
407,413,Wii Music,Nintendo Wii,2008,Misc,Nintendo,1.36,1.13,0.46,0.32,3.27
408,414,Gran Turismo (PSP),Sony PlayStation Portable,2009,Racing,Sony Computer Entertainment,0.5,1.59,0.31,0.87,3.27
409,415,Monster Hunter X,Nintendo 3DS,2015,Action,Capcom,0.25,0.19,2.78,0.04,3.26
410,416,Tekken,Sony PlayStation,1995,Fighting,Sony Computer Entertainment,0.95,1.3,0.77,0.22,3.24
411,417,FIFA 16,Microsoft Xbox One,2015,Sports,Electronic Arts,0.88,2.11,0.0,0.23,3.23
412,418,L.A. Noire,Sony PlayStation 3,2011,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23
413,419,Madden NFL 16,Sony PlayStation 4,2015,Sports,Electronic Arts,2.33,0.3,0.0,0.59,3.22
414,420,Yokai Watch 2 Ganso/Honke,Nintendo 3DS,2014,Role-Playing,Nintendo,0.03,0.0,3.18,0.0,3.22
415,421,007: Tomorrow Never Dies,Sony PlayStation,1999,Shooter,Electronic Arts,1.72,1.33,0.0,0.16,3.21
416,422,Baseball,Nintendo Entertainment System,1983,Sports,Nintendo,0.73,0.1,2.35,0.02,3.2
417,423,Killer Instinct,Super Nintendo Entertainment System,1995,Fighting,Nintendo,2.26,0.72,0.12,0.1,3.2
418,424,WWF SmackDown! 2: Know Your Role,Sony PlayStation,2000,Fighting,THQ,1.76,1.21,0.07,0.16,3.2
419,425,Crisis Core: Final Fantasy VII,Sony PlayStation Portable,2007,Role-Playing,Square Enix,1.35,0.6,0.8,0.44,3.19
420,426,God of War: Chains of Olympus,Sony PlayStation Portable,2008,Action,Sony Computer Entertainment,1.48,1.01,0.04,0.66,3.19
421,427,Dragon Quest VI: Maboroshi no Daichi,Super Nintendo Entertainment System,1995,Role-Playing,Enix Corporation,0.0,0.0,3.19,0.0,3.19
422,428,Dance Central,Microsoft Xbox 360,2010,Misc,MTV Games,2.15,0.77,0.01,0.26,3.19
423,429,Enter the Matrix,Sony PlayStation 2,2003,Action,Atari,1.78,1.12,0.09,0.19,3.18
424,430,Super Mario Maker,Nintendo Wii U,2015,Platform,Nintendo,1.18,0.87,0.93,0.2,3.18
425,431,Fallout: New Vegas,Sony PlayStation 3,2010,Role-Playing,Bethesda Softworks,1.52,1.08,0.1,0.47,3.17
426,433,Rhythm Heaven,Nintendo DS,2008,Misc,Nintendo,0.58,0.51,1.93,0.14,3.17
427,434,Ace Combat 04: Shattered Skies,Sony PlayStation 2,2001,Simulation,Sony Computer Entertainment Europe,2.06,0.56,0.38,0.17,3.17
428,435,Club Penguin: Elite Penguin Force,Nintendo DS,2008,Adventure,Disney Interactive Studios,1.88,0.98,0.0,0.3,3.16
429,436,Animal Crossing,Nintendo GameCube,2001,Simulation,Nintendo,1.92,0.16,0.99,0.09,3.15
430,437,LEGO Batman: The Videogame,Nintendo DS,2008,Action,Warner Bros. Interactive Entertainment,1.79,1.06,0.0,0.29,3.15
431,438,Sonic Rush,Nintendo DS,2005,Platform,Sega,1.22,1.57,0.06,0.29,3.15
432,439,Resident Evil 6,Sony PlayStation 3,2012,Shooter,Capcom,0.88,0.97,0.88,0.42,3.15
433,440,Halo: The Master Chief Collection,Microsoft Xbox One,2014,Shooter,Microsoft Game Studios,1.89,0.99,0.03,0.24,3.15
434,441,FIFA Soccer 08,Sony PlayStation 2,2007,Sports,Electronic Arts,0.68,0.0,0.0,2.46,3.14
435,442,Spider-Man,Sony PlayStation,2000,Action,Activision,1.7,1.25,0.02,0.16,3.13
436,443,Need for Speed III: Hot Pursuit,Sony PlayStation,1998,Racing,Electronic Arts,2.14,0.86,0.0,0.13,3.12
437,444,Star Wars Episode I Racer,Nintendo 64,1999,Racing,Nintendo,2.31,0.62,0.14,0.04,3.12
438,445,Personal Trainer: Cooking,Nintendo DS,2006,Misc,Nintendo,0.91,1.0,1.03,0.17,3.12
439,446,The Elder Scrolls IV: Oblivion,Sony PlayStation 3,2007,Role-Playing,Ubisoft,1.69,0.87,0.14,0.42,3.12
440,447,Dragon Warrior IV,Nintendo Entertainment System,1990,Role-Playing,Enix Corporation,0.08,0.0,3.03,0.01,3.12
441,448,Heavy Rain,Sony PlayStation 3,2010,Adventure,Sony Computer Entertainment,1.29,1.27,0.06,0.5,3.12
442,449,Mass Effect 2,Microsoft Xbox 360,2010,Role-Playing,Electronic Arts,1.99,0.82,0.03,0.27,3.11
443,450,FIFA 15,Microsoft Xbox 360,2014,Sports,Electronic Arts,0.78,2.02,0.0,0.3,3.11
444,451,Dragon Ball Z: Budokai,Sony PlayStation 2,2002,Fighting,Atari,2.17,0.28,0.55,0.08,3.09
445,452,Madden NFL 2002,Sony PlayStation 2,2001,Sports,Electronic Arts,2.5,0.16,0.01,0.42,3.08
446,453,World Class Track Meet,Nintendo Entertainment System,1986,Sports,Namco Bandai Games,1.92,0.45,0.64,0.07,3.08
